GRIDCODE,CVENTMUN,Fpv
35672,20439,0.018254541
35673,20439,0.065481675
35674,20324,0.050178061
35675,20324,0.012070671
36731,20439,0.084402183
36734,20324,0.064162628
37783,20439,0.021352968
37784,20439,0.060895612
37785,20439,0.060030645
37786,20439,0.050232394
37787,20439,0.060085825
37788,20439,0.060464289
37789,20439,0.06249467
37790,20439,0.005796189
37791,20439,0.016198856
37793,20324,0.048325791
37794,20324,0.040112528
37795,20324,0.052942014
37796,20324,0.019754511
38839,20439,0.012923511
38840,20439,0.081011256
38841,20439,0.05954729
38842,20439,0.039435023
38845,20439,0.0152075
38850,20439,0.014882907
38851,20324,0.018128572
38852,20324,0.050307837
38853,20324,0.019660247
38854,20324,0.008060462
38855,20324,0.053765196
38856,20324,0.061644198
38857,20413,0.000733158
38858,20413,0.031773754
39895,20401,0.068092897
39896,20401,0.083472944
39897,20401,0.075924579
39898,20401,0.014606092
39912,20324,0.060531944
39917,20413,0.013650112
39918,20413,0.045880202
39919,20413,0.028375288
39923,20413,0.001774456
39924,20413,0.010248181
40951,20401,0.074274723
40952,20401,0.075969132
40953,20401,0.07590679
40954,20401,0.008674111
40971,20324,0.059773836
40976,20413,0.013639363
40977,20413,0.046957523
40978,20413,0.015267443
40979,20413,0.041939258
40980,20413,0.004882247
40981,20413,0.043788137
40982,20413,0.004120599
40983,20413,0.020503773
40984,20413,0.125965022
40985,20413,0.02147931
42008,20401,0.009240326
42009,20401,0.031182883
42010,20401,0.011976185
42029,20324,0.001681466
42030,20324,0.05985662
42035,20413,0.047816509
42042,20413,0.023108123
42043,20413,0.047862533
42044,20413,0.014958993
42045,20266,0.168500886
43065,20318,0.007676128
43066,20318,0.080916015
43067,20401,0.03738784
43069,20401,0.07873344
43070,20401,0.061072267
43088,20324,0.015475118
43089,20324,0.043571434
43094,20413,0.007151842
43103,20266,0.250598458
43104,20266,0.318583342
43105,20266,0.203097031
44124,20318,0.086795242
44125,20318,0.07429654
44126,20318,0.014266882
44129,20401,0.046379921
44130,20401,0.079029018
44146,20012,0.002162642
44147,20324,0.009395969
44164,20307,0.011281539
44165,20307,0.074270409
44166,20307,0.010406493
45182,20318,0.091114208
45183,20318,0.033183411
45184,20318,0.076692561
45185,20318,0.007743784
45205,20071,0.119436344
45206,20071,0.188061944
45225,20307,0.055459811
45226,20307,0.061868647
45227,20307,0.056783967
46232,20334,0.026354591
46233,20334,0.036168194
46234,20334,0.03951027
46235,20334,0.036079166
46236,20334,0.039123291
46237,20334,0.045955892
46238,20334,0.03764172
46239,20334,0.026180004
46240,20318,0.083783275
46241,20318,0.005268749
46243,20318,0.08358843
